strike,time_to_expiry,moneyness,type,market_iv,solved_iv,converged
79000,0.0109589,1.03304,P,0.2569,0.2347,1
73000,0.060274,0.952323,P,0.3265,0.321662,1
80000,0.00821918,1.04621,C,0.2928,0.259604,1
75000,0.00821918,0.980826,C,0.2317,0.205955,1
62000,0.271233,0.800374,P,0.4137,0.412353,1
96000,0.769863,1.20898,C,0.392,0.391524,1
45000,0.0219178,0.58808,C,1.0182,1.04553,1
77500,0.0109589,1.01342,C,0.2348,0.215245,1
200000,0.520548,2.54985,C,0.5486,0.54766,1
60000,0.117808,0.780497,P,0.4491,0.445693,1
52000,0.117808,0.676431,P,0.5688,0.564547,1
77500,0.00821918,1.01352,P,0.2252,0.199263,1
140000,0.271233,1.8073,P,0.4921,0.489405,1
95000,0.0410959,1.24043,P,0.4657,0.453484,1
67000,0.00821918,0.876204,P,0.5597,0.496132,1
102000,0.520548,1.30042,P,0.3867,0.386019,1
104000,0.769863,1.30973,P,0.3961,0.39564,1
98000,0.0219178,1.28071,P,0.6059,0.567862,1
98000,0.769863,1.23417,P,0.3926,0.392171,1
40000,0.0219178,0.522738,C,1.0505,0.5,0
100000,0.769863,1.25934,P,0.3935,0.393032,1
94000,0.194521,1.21834,P,0.3649,0.363286,1
68000,0.0219178,0.888654,P,0.4167,0.399588,1
75000,0.00273973,0.981198,P,0.3022,0.180753,1
95000,0.520548,1.21116,C,0.3814,0.380762,1
56000,0.117808,0.728464,C,0.5054,0.501827,1
